,state
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,5
154,5
155,5
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,5
172,5
173,5
174,5
175,5
176,5
177,5
178,5
179,5
180,5
181,5
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,5
201,5
202,5
203,5
204,5
205,5
206,5
207,5
208,5
209,5
210,5
211,5
212,5
213,5
214,5
215,5
216,5
217,5
218,5
219,5
220,5
221,5
222,5
223,5
224,5
225,5
226,5
227,5
228,5
229,5
230,5
231,5
232,5
233,5
234,5
235,5
236,5
237,5
238,5
239,5
240,5
241,5
242,5
243,5
244,5
245,5
246,5
247,5
248,5
249,5
250,5
251,5
252,5
253,5
254,5
255,5
256,5
257,5
258,5
259,5
260,5
261,5
262,5
263,5
264,5
265,5
266,5
267,5
268,5
269,5
270,5
271,5
272,5
273,5
274,5
275,5
276,5
277,5
278,5
279,5
280,5
281,5
282,5
283,5
284,5
285,5
286,5
287,5
288,5
289,5
290,5
291,5
292,5
293,5
294,5
295,5
296,5
297,5
298,5
299,5
300,5
301,5
302,5
303,5
304,8
305,8
306,8
307,8
308,8
309,8
310,8
311,8
312,8
313,8
314,8
315,8
316,8
317,8
318,8
319,8
320,8
321,8
322,8
323,8
324,8
325,8
326,8
327,8
328,8
329,8
330,8
331,8
332,8
333,8
334,8
335,8
336,8
337,8
338,8
339,8
340,8
341,8
342,8
343,8
344,8
345,8
346,8
347,8
348,8
349,8
350,8
351,8
352,8
353,8
354,8
355,8
356,8
357,8
358,8
359,8
360,8
361,8
362,8
363,8
364,8
365,8
366,8
367,8
368,8
369,8
370,8
371,8
372,8
373,8
374,8
375,8
376,8
377,8
378,8
379,8
380,8
381,8
382,8
383,8
384,8
385,8
386,8
387,8
388,8
389,8
390,8
391,8
392,8
393,8
394,8
395,8
396,8
397,8
398,8
399,8
400,8
401,8
402,8
403,8
404,8
405,8
406,8
407,8
408,8
409,8
410,8
411,8
412,8
413,8
414,8
415,8
416,8
417,8
418,8
419,8
420,8
421,8
422,8
423,8
424,8
425,8
426,8
427,8
428,8
429,8
430,8
431,8
432,8
433,8
434,8
435,8
436,8
437,8
438,8
439,8
440,8
441,8
442,8
443,8
444,8
445,8
446,8
447,8
448,8
449,8
450,8
451,8
452,8
453,8
454,8
455,s
456,s
457,s
458,s
459,s
460,s
461,s
462,s
463,s
464,s
465,s
466,s
467,s
468,s
469,s
470,s
471,s
472,s
473,s
474,s
475,s
476,s
477,s
478,s
479,s
480,s
481,s
482,s
483,s
484,s
485,s
486,s
487,s
488,s
489,s
490,s
491,s
492,s
493,s
494,s
495,s
496,s
497,s
498,s
499,s
500,s
501,s
502,s
503,s
504,s
505,s
506,s
507,s
508,s
509,s
510,s
511,s
512,s
513,s
514,s
515,s
516,s
517,s
518,s
519,s
520,s
521,s
522,s
523,s
524,s
525,s
526,s
527,s
528,s
529,s
530,s
531,s
532,s
533,s
534,s
535,s
536,s
537,s
538,s
539,s
540,s
541,s
542,s
543,s
544,s
545,s
546,s
547,s
548,s
549,s
550,s
551,s
552,s
553,s
554,s
555,s
556,s
557,s
558,s
559,s
560,s
561,s
562,s
563,s
564,s
565,s
566,s
567,s
568,s
569,s
570,s
571,s
572,s
573,s
574,s
575,s
576,s
577,s
578,s
579,s
